#Frame             d1           d2
     541       6.5878       9.3671
     542       7.3282       9.8424
     543       7.5376       8.3896
     544       7.2549       9.9989
     545       7.6679       9.2114
     546       8.4052       9.8857
     547       8.5621       9.8583
     548       7.7843      10.3109
     549       6.4886       9.5801
     550       7.6035       9.2969
     551       6.9211       9.1727
     552       7.1757      10.0080
     553       8.7049       9.8355
     554       5.7603      10.9442
     555       7.8400       9.8440
     556       5.0939      10.1609
     557       6.4665       9.9436
     558       6.2409      10.0197
     559       7.6979      11.1114
     560       6.4128      10.7595
     561       6.6912      11.3517
     562       6.5101      10.6464
     563       7.4994      12.2741
     564       6.8903      10.9423
     565       6.0847      11.6624
     566       6.5524      11.0806
     567       5.9320      12.2681
     568       5.9187      11.2667
     569       6.0493      10.5842
     570       6.7699       9.6328
     571       6.0452       9.7902
     572       5.6031       8.7702
     573       8.1295       9.3408
     574       7.1624       9.4088
     575       7.2188      10.0036
     576       8.5926       9.7241
     577       8.2521       9.2604
     578       8.1693       8.3978
     579       9.4931       8.4376
     580       9.9645       8.8298
     581       8.4692       9.5321
     582       7.0293       7.7777
     583       9.4470       8.3039
     584       8.3720       8.5704
     585      10.2478       9.1516
     586       9.8263       9.1152
     587      10.3857       9.9389
     588       9.3429       9.7046
     589       8.5246       8.9271
     590       9.9015       8.9876
     591      10.0389       9.9553
     592       9.2365       8.9928
     593       8.1617       8.9113
     594       9.1424       8.4554
     595       8.4946       8.2127
     596       8.1596       7.8562
     597       8.5937       9.8649
     598       8.9661       9.6418
     599       6.3370      10.1825
     600       6.5127      11.0570
     601       7.1533       9.9094
     602       8.2811       9.1758
     603       8.1641       9.1472
     604       8.0409       9.5903
     605       7.8551       9.0767
     606       7.0734      10.3031
     607       6.2631       9.4316
     608       5.1703       9.4601
     609       6.3949      10.6186
     610       5.7865      11.0873
     611       5.4028      10.7817
     612       6.2737      10.3919
     613       5.9982      11.2294
     614       7.7725      11.0116
     615       7.3651      10.3234
     616       7.2227      11.2066
     617       8.7215      11.3619
     618       8.7469      10.9986
     619      10.2282      11.0918
     620       9.3831      11.5765
     621       8.1008      10.1836
     622       8.2812      10.4630
     623       8.6390      11.0000
     624       9.1848      11.7498
     625       8.8344      11.1714
     626       8.8997      11.2062
     627       8.0191       9.6466
     628       8.1390      11.3507
     629      10.8810      11.5353
     630       9.1146      11.7440
     631      11.0292      11.4116
     632      10.9814      12.5139
     633       8.6095      10.8998
     634       9.8200      11.7956
     635       9.6561      12.1542
     636       7.5631      11.6510
     637       8.4171      12.0543
     638       7.1167      12.7192
     639       8.1572      12.0140
     640       7.0017      12.0260
     641       5.7901      12.8211
     642       7.3248      11.6482
     643       8.0339      12.2189
     644       6.7964      12.4381
     645       6.3396      11.4958
     646       6.0823      10.2038
     647       5.7164      11.4342
     648       6.4153      10.5675
     649       7.0508      11.1691
     650       8.8150      11.7217
     651       8.1322      12.1109
     652       8.2748      11.8188
     653      10.0155      10.2519
     654      12.1701       9.4619
     655      10.4462      10.7187
     656       9.2794      10.8854
     657       8.4939      10.6761
     658       8.8168      11.2721
     659      10.0331       9.7153
     660       9.8290       9.3402
     661       9.0570       8.9125
     662      11.0066       8.5468
     663       7.4815      10.4401
     664       6.6641      10.3059
     665      10.4546      11.2581
     666      13.8846      11.4063
     667      12.4738      10.6561
     668      12.1198      11.6770
     669      12.0935      11.1644
     670      12.2437      12.2785
     671      13.3477      11.8956
     672      12.5463      11.7174
     673      14.1097      11.8543
     674      14.8077      11.7409
     675      11.4224      11.9224
     676      10.7473      12.4349
     677      11.0450      12.1125
     678      11.4579      12.4027
     679      11.4533      11.3528
     680      11.3581      11.1723
     681      10.3519      11.2111
     682      10.2798      10.5351
     683      10.8644      10.6446
     684      12.4429      11.4788
     685       8.5605      12.0789
     686       8.4621      10.2414
     687      10.4895      10.8427
     688       9.4075      10.7510
     689      11.0854      10.8221
     690      10.0256      11.2658
